Znumber,smiles,score
Z1201618106,CN1C(=O)OC(C)(C)C1=O,-4.706
Z99599698,CCC1(C)CC(=O)NC(=O)C1,-5.527
Z1222399234,N[C@@H](CSCC(=O)O)C(=O)O,-4.426
Z1089994842,CN=C(NC)NCc1ccccc1,-5.997
Z56871821,Nc1c2ccccc2nc2ccccc12,-8.06
Z56347248,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-6.928
Z1695772815,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-7.715
Z1954804578,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,-7.531
Z203045352,O=S(=O)(O)c1ccc2nc(-c3ccccc3)[nH]c2c1,-8.216
Z1530532755,O=C(CCCCCCC(=O)Nc1ccccc1)NO,-7.181
Z104474964,CCCCCCCCCCCCCCCCCC(=O)O,-5.84
Z2210694608,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,-12.565
Z1514087129,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,-7.48
Z1544404943,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,-8.787
Z2037279473,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,-12.513
Z1541759502,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,-7.378
Z1614451557,Cc1nnc(C(C)C)n1C1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,-8.607
Z1248763315,O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1,-8.054
Z1954805523,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,-6.292
Z1889837352,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,10.0
Z2185279095,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,10.0
