Znumber,smiles,score
Z908095506,Cc1cc(NC(=O)c2cc(-c3cccs3)on2)n(CCC#N)n1,-7.304
Z19513456,CCOc1ccc(-n2c(SCC(=O)N3CCCC3=O)nnc2-c2c[nH]c3ccccc23)cc1,-9.25
Z51737757,O=C(CCn1[nH]c(=O)ccc1=O)Nc1ccc(-n2cnnn2)cc1,-8.568
Z19513253,CCOc1ccc(-n2c(SCC(=O)c3c[nH]c4ccccc34)nnc2-c2c[nH]c3ccccc23)cc1,-10.104
Z16254213,Cc1cc(C(=O)CSc2nnc(-c3ccc4c(c3)OCO4)n2-c2ccccc2)c(C)n1C,-10.135
Z28296849,Cc1nc2ccc(NC(=O)c3cc4ccccc4oc3=O)cc2s1,-10.411
Z56816068,Cc1cc(C)nc(SCc2ccc(-c3[nH]nc(-c4ccccc4)c3-c3nc4ccccc4[nH]3)cc2)n1,-9.741
Z18519048,Cn1nnnc1SCC(=O)c1c(-c2ccccc2)[nH]c2ccccc12,-9.295
Z73364722,CC(=O)NCc1ccc(-c2csc(NC(=O)c3nc(-c4ccccc4)oc3C)n2)s1,-8.993
Z235467022,NC(=S)c1cc(C(=O)c2ccccc2O)cn2c1nc1ccccc12,-10.267
Z56870429,O=S(=O)(c1cccc(-c2[nH]nc(-c3ccccc3)c2-c2nc3ccccc3[nH]2)c1)N1CCCC1,-10.288
Z73300898,O=C(Nc1nc(-c2ccccn2)cs1)c1ccc(NC(=O)c2cccs2)cc1,-9.039
Z25766910,CC(O)CNc1nc2ccccc2n1CC(=O)NCc1cccs1,-7.626
Z410927360,O=C(Nc1nnc(-c2ccco2)o1)c1nc(-c2ccccc2)n2c1CCCCC2,-13.321
Z1229984790,O=C(Nc1cc(C2CCCC2)[nH]n1)c1ccc(Cn2ccnc2)cc1,-8.59
Z296244664,O=C(Nc1nc(-c2ccc[nH]2)cs1)c1csc(-c2ccco2)n1,-7.799
Z56793398,Cc1cccc(C)c1OCc1nc2c3c(-c4ccccc4)c(-c4ccccc4)oc3ncn2n1,-11.255
Z1039455578,Cc1oc(-c2ccsc2)nc1CC(=O)Nc1cc(C(N)=O)n(C)c1,-7.964
Z99004386,COc1ccccc1NC(=O)c1ccc(NC(=O)COc2ccc(-c3nc(C)cs3)cc2)cc1,-9.614
Z826713980,Cc1cc(NC(=O)c2cc3c(F)cccc3s2)n(CCC#N)n1,-8.003
Z927972178,COc1ccccc1-c1cc(NC(=O)c2ccc(Cn3cncn3)cc2)[nH]n1,-9.104
Z839968520,CCc1c(C(=O)CN2CCCC2c2ccsc2)[nH]c(C)c1C(C)=O,-8.079
Z99468124,O=C(Cc1csc(-c2ccsc2)n1)Nc1ccc2nc(N3CCOCC3)sc2c1,-8.438
Z332936670,COc1ccc(-c2nnc(NC(=O)c3ccc(NC(=O)c4ccccc4)cc3)[nH]2)cc1,-9.471
Z290228874,CC(c1ccccc1)N1C(=O)C(=O)N(CC(=O)c2cccn2C)C1=O,-8.051
Z647588818,O=C(NCc1cccnc1-n1cccn1)c1ccc(NC(=O)c2ccccn2)cc1,-8.549
Z839413590,CC(=O)Nc1ccc(C=CC(=O)c2ccccc2-n2cccn2)cc1,-9.559
Z287022862,O=C(Cc1csc(-c2ccco2)n1)Nc1ccc2nc(N3CCOCC3)sc2c1,-8.615
Z432289626,c1ccc(Cn2cccn2)c(CNc2cncc(-n3cccn3)n2)c1,-8.621
Z217430364,CC(C)n1ncc2cc(C(=O)Nc3ccc4[nH]c(=O)[nH]c4c3)cnc21,-9.092
Z1798299891,Cc1nccn1-c1cncc(NCc2cc(-c3ccccc3)on2)n1,-8.873
Z1129155203,O=C(CCN1CCCC1=O)Nc1ccc(Oc2ccc(F)cc2)cn1,-8.45
Z167254296,O=C(NCCCN1CCCCC1)c1cc(-c2ccccc2)nc2c1cnn2Cc1ccncc1,-8.786
Z425236088,O=C(Nc1nc2c(s1)CCCCC2)c1ccc(NC(=O)c2ccccn2)cc1,-12.187
Z17093922,Cc1cc(NC(=O)COC(=O)c2ccc3[nH]c(C)c(C)c3c2)no1,-8.929
Z19511505,O=C(CSc1nnc(-c2c[nH]c3ccccc23)n1-c1ccc(Cl)cc1)N1CCNC1=O,-9.141
Z826713438,Cc1cc(NC(=O)c2ccn(-c3ccccc3)n2)n(CCC#N)n1,-7.81
Z204342388,O=C(Nc1cc(-c2cccc([N+](=O)[O-])c2)sc1C(=O)O)c1ccc2c(c1)CCC2,-10.127
Z85929771,O=C(COC(=O)c1ccco1)Nc1nc2ccc([N+](=O)[O-])cc2s1,-7.546
Z443982930,O=C(Nc1nc2ccc(S(=O)(=O)N3CCCC3)cc2s1)c1cc(-c2cccnc2)on1,-8.963
Z17289317,COc1ccccc1NC(=O)c1ccc(NC(=O)COc2ccc(C3SCCS3)cc2)cc1,-8.646
Z18650720,O=C(CSc1nnc(-c2ccco2)o1)Nc1ccc2c(c1)CCC2,-8.055
Z317663344,O=C(Nc1nc2c(s1)CN(Cc1ccccc1)CC2)c1cc(-c2ccco2)[nH]n1,-9.299
Z737550454,CC=CC=CC(=O)NCc1cccc(C(=O)NCc2ccco2)c1,-7.702
Z228153102,O=C(NCCc1nc2ccccc2[nH]1)c1cc(-c2ccccc2)nc2c1cnn2Cc1ccco1,-10.238
Z98941608,Cc1nnc(SCC(=O)c2cc3cc(Cl)ccc3o2)n1C1CC1,-8.588
Z29249972,CCN(CC)CCn1c(NC(=O)c2cc3c(C)nn(-c4ccc(Cl)cc4)c3s2)nc2ccccc21,-9.233
Z328656306,CCCN(CC1COc2ccccc2O1)c1ncnc2c1cnn2C,-8.482
Z641940000,CCCn1c(NC(=O)c2ccc3c(c2)S(=O)(=O)N(C(C)C)C3=O)nc2ccccc21,-9.854
Z1404550995,CN(C)c1nc2ccc(NC(=O)c3csc(-c4ccoc4)n3)cc2o1,-8.407
Z1082320758,Cc1cccc(-c2nc(C(C)C)no2)c1NC(=O)CCc1ccccc1,-9.165
Z108907460,O=C(Nc1nc2c(s1)CN(Cc1ccccc1)CC2)c1csc(-c2ccsc2)n1,-9.35
Z242175442,O=C(NCc1ccccn1)c1cc(-c2cccnc2)nc2c1cnn2Cc1ccco1,-9.509
Z558380580,Cc1ncc2c(n1)CCN(C(=O)NCc1cc(-c3ccccc3)no1)C2,-9.131
Z425227654,Cc1ccc(NC(=O)c2ccc(N3CC(=O)C(c4nc5ccccc5s4)=C3N)cc2)c(O)c1,-10.366
Z424802904,Cc1n[nH]c(C)c1C=CC(=O)c1ccc(N2CCCC2=O)cc1,-8.991
Z18647134,Cc1cc(C)c(C(=O)CSc2nnc(-c3c[nH]c4ccccc34)n2CC2CCCO2)c(C)c1,-9.969
Z70909650,CCCOc1ccc(OCC(=O)Nc2ccc3oc(C)nc3c2)cc1,-8.083
Z412775872,O=C(NCc1cccc(C(F)(F)F)c1)Nc1ccc(NC(=O)c2ccco2)cc1,-9.032
Z320075170,CC(=O)N1CCc2cc(NC3CC(=O)N(C4CC4)C3=O)ccc21,-8.215
Z56919929,Cc1[nH]n(-c2ccccc2)c(=O)c1C(=NNC(=O)c1cc(-c2ccccc2)n[nH]1)c1ccccc1,-13.319
Z954394146,Cc1noc(C(C)NC(=O)C2CSCN2C(=O)c2ccccc2)n1,-8.501
Z193999678,Cc1cc(COC(=O)c2cc(-c3ccccc3)nc3c2cnn3Cc2cccc(F)c2)no1,-10.875
Z485637938,Cc1cc(CN(C)C(=O)NCc2ccc(N3CCCC3=O)cc2)no1,-7.84
Z18519758,CC(Sc1nnnn1C)C(=O)Nc1ccc2c(c1)OCO2,-7.392
Z204341820,O=C(C=Cc1ccco1)Nc1cc(-c2cccc([N+](=O)[O-])c2)sc1C(=O)O,-8.799
Z164951688,Cc1nc(-c2ccc(CNC(=O)Cc3cccc(F)c3)o2)cs1,-8.181
Z19829052,COc1ccccc1NC(=O)c1ccc(NC(=O)COc2ccc(-c3ccccc3)cc2)cc1,-9.252
Z30046778,Cc1cccc(Oc2ccccc2NC(=O)c2ccc(O)nc2)c1,-9.112
Z108748406,O=C(NCC1CCCCC1)c1cc(-c2ccccc2)nc2c1cnn2Cc1ccncc1,-10.436
Z295883036,CCOC(=O)c1cc(-c2ccccc2)nc2[nH]c(=O)c3ccccc3c12,-9.897
Z111781008,COc1ccccc1C(=O)Nc1ccc(Nc2nc(-c3ccccc3)c3cc(C)ccc3n2)cc1,-10.342
Z365246124,Cc1cc(C(=O)Nc2ccc3c(c2)CCC3)ccc1-n1cnnn1,-9.238
Z245503032,O=C(Nc1nc2cc(C(F)(F)F)ccc2n1Cc1ccco1)c1ccc2[nH]nnc2c1,-9.165
Z1038829842,NC(=O)N1CCC(C(=O)N2CCCC2CC2CC3CCC2C3)CC1,-8.817
Z73973253,CC(C)(C)C(=O)NCc1ccc(C(=O)COC(=O)c2cc3c(s2)CCC3)s1,-7.92
Z1103241348,Cn1cc(C2CCCN2CC(=O)N2CCC(c3ccccc3)=N2)cn1,-8.72
Z239539964,Cc1nn(C)c2ncc(NC(=O)c3cc(-c4ccco4)nc4onc(C)c34)cc12,-9.675
Z1000171966,Cc1nc(NC(=O)c2cccc(NC(N)=O)c2)sc1SCC#N,-7.304
Z18672879,CCOc1ccc(-n2c(SCC(=O)c3ccc[nH]3)nnc2-c2ccccc2Cl)cc1,-9.495
