Znumber,rank_id,confidence,center_distance,file,mol_pred_loaded,sanitization,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,all_pass
Z1020762628,10,2.29,0.6271504098254889,results_fda/Z1020762628_cyes/rank10_confidence-2.29.sdf,1,1,1,1,1,1,1,1,1,1
Z1020762628,1,0.63,0.489033136611699,results_fda/Z1020762628_cyes/rank1_confidence-0.63.sdf,1,1,1,1,1,1,1,1,1,1
Z1020762628,2,1.28,0.3411913232514512,results_fda/Z1020762628_cyes/rank2_confidence-1.28.sdf,1,1,1,1,1,1,1,1,0,0
Z1020762628,3,1.33,1.3884848362412436,results_fda/Z1020762628_cyes/rank3_confidence-1.33.sdf,1,1,1,1,1,1,1,1,1,1
Z1020762628,4,1.37,0.5212436265689743,results_fda/Z1020762628_cyes/rank4_confidence-1.37.sdf,1,1,1,1,1,1,1,1,1,1
Z1020762628,5,1.59,0.7188422098663085,results_fda/Z1020762628_cyes/rank5_confidence-1.59.sdf,1,1,1,1,1,1,1,1,1,1
Z1020762628,6,1.74,0.7958674310906152,results_fda/Z1020762628_cyes/rank6_confidence-1.74.sdf,1,1,1,1,1,1,1,1,1,1
Z1020762628,7,1.78,0.7652814882401617,results_fda/Z1020762628_cyes/rank7_confidence-1.78.sdf,1,1,1,1,1,1,1,1,1,1
Z1020762628,8,1.85,1.4622226811214425,results_fda/Z1020762628_cyes/rank8_confidence-1.85.sdf,1,1,1,1,1,1,1,1,1,1
Z1020762628,9,1.92,0.6320698536610337,results_fda/Z1020762628_cyes/rank9_confidence-1.92.sdf,1,1,1,1,1,1,1,1,1,1
Z103710848,10,4.33,22.439276227007984,results_fda/Z103710848_cyes/rank10_confidence-4.33.sdf,1,1,1,1,1,1,1,1,1,1
Z103710848,1,0.88,1.4795048335505572,results_fda/Z103710848_cyes/rank1_confidence-0.88.sdf,1,1,1,1,1,1,1,1,1,1
Z103710848,2,1.01,0.4438288892405099,results_fda/Z103710848_cyes/rank2_confidence-1.01.sdf,1,1,1,1,1,1,1,1,1,1
Z103710848,3,1.04,1.4791296579097226,results_fda/Z103710848_cyes/rank3_confidence-1.04.sdf,1,1,1,1,1,1,1,1,1,1
Z103710848,4,1.29,1.518020276534802,results_fda/Z103710848_cyes/rank4_confidence-1.29.sdf,1,1,1,1,1,1,1,1,1,1
