Znumber,rank_id,confidence,center_distance,file,mol_pred_loaded,sanitization,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,all_pass
Z1000171966,10,0.98,4.25740213193026,results_ipab/Z1000171966/rank10_confidence-0.98.sdf,1,1,1,1,1,1,1,1,1,1
Z1000171966,1,0.04,4.136958613693423,results_ipab/Z1000171966/rank1_confidence-0.04.sdf,1,1,1,1,1,1,1,1,1,1
Z1000171966,2,0.16,4.147445466349515,results_ipab/Z1000171966/rank2_confidence-0.16.sdf,1,1,1,1,1,1,1,1,1,1
Z1000171966,3,0.27,4.535683499575738,results_ipab/Z1000171966/rank3_confidence-0.27.sdf,1,1,1,1,1,1,1,1,1,1
Z1000171966,4,0.29,4.225336735627224,results_ipab/Z1000171966/rank4_confidence-0.29.sdf,1,1,1,1,1,1,1,1,1,1
Z1000171966,5,0.44,3.709659699530784,results_ipab/Z1000171966/rank5_confidence-0.44.sdf,1,1,1,1,1,1,1,1,1,1
Z1000171966,6,0.47,3.785597166076887,results_ipab/Z1000171966/rank6_confidence-0.47.sdf,1,1,1,1,1,1,1,1,1,1
Z1000171966,7,0.49,4.012923760740119,results_ipab/Z1000171966/rank7_confidence-0.49.sdf,1,1,1,1,1,1,1,1,1,1
Z1000171966,8,0.52,1.6609317756122797,results_ipab/Z1000171966/rank8_confidence-0.52.sdf,1,1,1,1,1,1,1,1,1,1
Z1000171966,9,0.8,2.274051365168091,results_ipab/Z1000171966/rank9_confidence-0.80.sdf,1,1,1,1,1,1,1,1,1,1
Z1002250664,10,2.12,1.3146326793667786,results_ipab/Z1002250664/rank10_confidence-2.12.sdf,1,1,1,1,1,1,1,1,1,1
Z1002250664,1,0.7,1.1676966962523638,results_ipab/Z1002250664/rank1_confidence-0.70.sdf,1,1,1,1,1,1,1,1,1,1
Z1002250664,2,0.75,1.350348706016172,results_ipab/Z1002250664/rank2_confidence-0.75.sdf,1,1,1,1,1,1,1,1,1,1
Z1002250664,3,0.79,1.4969380808018544,results_ipab/Z1002250664/rank3_confidence-0.79.sdf,1,1,1,1,1,1,1,1,1,1
Z1002250664,4,0.81,1.1939970927493766,results_ipab/Z1002250664/rank4_confidence-0.81.sdf,1,1,1,1,1,1,1,1,1,1
Z1002250664,5,0.9,1.5747941369257046,results_ipab/Z1002250664/rank5_confidence-0.90.sdf,1,1,1,1,1,1,1,1,1,1
Z1002250664,6,1.18,1.946640217077318,results_ipab/Z1002250664/rank6_confidence-1.18.sdf,1,1,1,1,1,1,1,1,1,1
Z1002250664,7,1.21,1.617487717804981,results_ipab/Z1002250664/rank7_confidence-1.21.sdf,1,1,1,1,1,1,1,1,1,1
Z1002250664,8,1.22,2.088877523614242,results_ipab/Z1002250664/rank8_confidence-1.22.sdf,1,1,1,1,1,1,1,1,1,1
Z1002250664,9,1.24,2.2135224733547982,results_ipab/Z1002250664/rank9_confidence-1.24.sdf,1,1,1,1,1,1,1,1,1,1
Z1002490390,10,2.31,2.7509994726222184,results_ipab/Z1002490390/rank10_confidence-2.31.sdf,1,1,1,1,1,1,1,1,1,1
Z1002490390,1,0.67,3.034518976364902,results_ipab/Z1002490390/rank1_confidence-0.67.sdf,1,1,1,1,1,1,1,1,1,1
Z1002490390,2,0.69,2.9029041446977257,results_ipab/Z1002490390/rank2_confidence-0.69.sdf,1,1,1,1,1,1,1,1,1,1
Z1002490390,3,0.7,3.953398358734897,results_ipab/Z1002490390/rank3_confidence-0.70.sdf,1,1,1,1,1,1,1,1,1,1
Z1002490390,4,0.79,3.915771584096941,results_ipab/Z1002490390/rank4_confidence-0.79.sdf,1,1,1,1,1,1,1,1,1,1
Z1002490390,5,0.84,2.902628204609892,results_ipab/Z1002490390/rank5_confidence-0.84.sdf,1,1,1,1,1,1,1,1,1,1
Z1002490390,6,0.88,3.5719443463755867,results_ipab/Z1002490390/rank6_confidence-0.88.sdf,1,1,1,1,1,1,1,1,1,1
Z1002490390,7,0.89,3.347640517381105,results_ipab/Z1002490390/rank7_confidence-0.89.sdf,1,1,1,1,1,1,1,1,1,1
Z1002490390,8,0.9,2.8281366416598277,results_ipab/Z1002490390/rank8_confidence-0.90.sdf,1,1,1,1,1,1,1,1,1,1
Z1002490390,9,1.02,2.687844552588789,results_ipab/Z1002490390/rank9_confidence-1.02.sdf,1,1,1,1,1,1,1,1,1,1
Z1004409340,10,1.67,3.3666633282880576,results_ipab/Z1004409340/rank10_confidence-1.67.sdf,1,1,1,1,1,1,1,1,1,1
Z1004409340,1,0.5,1.6417492544952716,results_ipab/Z1004409340/rank1_confidence-0.50.sdf,1,1,1,1,1,1,1,1,1,1
Z1004409340,2,0.72,1.8127408516421784,results_ipab/Z1004409340/rank2_confidence-0.72.sdf,1,1,1,1,1,1,1,1,1,1
Z1004409340,3,0.83,2.0095396736479474,results_ipab/Z1004409340/rank3_confidence-0.83.sdf,1,1,1,1,1,1,1,1,1,1
Z1004409340,4,0.95,3.384633837446908,results_ipab/Z1004409340/rank4_confidence-0.95.sdf,1,1,1,1,1,1,1,1,1,1
Z1004409340,5,0.98,3.288624305875977,results_ipab/Z1004409340/rank5_confidence-0.98.sdf,1,1,1,1,1,1,1,1,1,1
Z1004409340,6,0.98,3.657058012238386,results_ipab/Z1004409340/rank6_confidence-0.98.sdf,1,1,1,1,1,1,1,1,1,1
Z1004409340,7,1.05,3.688203378115498,results_ipab/Z1004409340/rank7_confidence-1.05.sdf,1,1,1,1,1,1,1,1,1,1
Z1004409340,8,1.12,3.722398467836269,results_ipab/Z1004409340/rank8_confidence-1.12.sdf,1,1,1,1,1,1,1,1,1,1
Z1004409340,9,1.23,3.3079357085485315,results_ipab/Z1004409340/rank9_confidence-1.23.sdf,1,1,1,1,1,1,1,1,1,1
Z100642558,10,4.63,19.28364409476156,results_ipab/Z100642558/rank10_confidence-4.63.sdf,1,1,1,1,1,1,1,1,1,1
Z100642558,1,0.04,1.424952906080847,results_ipab/Z100642558/rank1_confidence-0.04.sdf,1,1,1,1,1,1,1,1,1,1
Z100642558,2,1.24,2.0204530219651664,results_ipab/Z100642558/rank2_confidence-1.24.sdf,1,1,1,1,1,1,1,1,1,1
Z100642558,3,1.33,1.0298517594856398,results_ipab/Z100642558/rank3_confidence-1.33.sdf,1,1,1,1,1,1,1,1,1,1
Z100642558,4,1.33,0.9198963317912292,results_ipab/Z100642558/rank4_confidence-1.33.sdf,1,1,1,1,1,1,1,1,1,1
Z100642558,5,1.34,0.8734935842854316,results_ipab/Z100642558/rank5_confidence-1.34.sdf,1,1,1,1,1,1,1,1,1,1
Z100642558,6,1.35,0.936666289931793,results_ipab/Z100642558/rank6_confidence-1.35.sdf,1,1,1,1,1,1,1,1,1,1
Z100642558,7,1.46,0.8664046649640851,results_ipab/Z100642558/rank7_confidence-1.46.sdf,1,1,1,1,1,1,1,1,1,1
Z100642558,8,1.56,0.9469759973836416,results_ipab/Z100642558/rank8_confidence-1.56.sdf,1,1,1,1,1,1,1,1,1,1
Z100642558,9,1.66,1.5460291698198956,results_ipab/Z100642558/rank9_confidence-1.66.sdf,1,1,1,1,1,1,1,1,1,1
Z1021669654,10,1.95,2.678664618277763,results_ipab/Z1021669654/rank10_confidence-1.95.sdf,1,1,1,1,1,1,1,1,1,1
Z1021669654,1,0.36,2.746647983164741,results_ipab/Z1021669654/rank1_confidence-0.36.sdf,1,1,1,1,1,1,1,1,1,1
Z1021669654,2,0.42,3.248305362312806,results_ipab/Z1021669654/rank2_confidence-0.42.sdf,1,1,1,1,1,1,1,1,1,1
Z1021669654,3,0.44,2.712707040498582,results_ipab/Z1021669654/rank3_confidence-0.44.sdf,1,1,1,1,1,1,1,1,1,1
Z1021669654,4,0.46,2.9016610794286564,results_ipab/Z1021669654/rank4_confidence-0.46.sdf,1,1,1,1,1,1,1,1,1,1
Z1021669654,5,0.46,2.8693681055208207,results_ipab/Z1021669654/rank5_confidence-0.46.sdf,1,1,1,1,1,1,1,1,1,1
Z1021669654,6,0.46,2.8635664167949533,results_ipab/Z1021669654/rank6_confidence-0.46.sdf,1,1,1,1,1,1,1,1,1,1
Z1021669654,7,0.47,2.852009724218646,results_ipab/Z1021669654/rank7_confidence-0.47.sdf,1,1,1,1,1,1,1,1,1,1
Z1021669654,8,0.48,3.0643968255416456,results_ipab/Z1021669654/rank8_confidence-0.48.sdf,1,1,1,1,1,1,1,1,1,1
Z1021669654,9,0.5,2.8514382677901624,results_ipab/Z1021669654/rank9_confidence-0.50.sdf,1,1,1,1,1,1,1,1,1,1
Z1022056870,10,2.08,2.6056977448153957,results_ipab/Z1022056870/rank10_confidence-2.08.sdf,1,1,1,1,1,1,1,1,1,1
Z1022056870,1,0.84,3.1959642949429385,results_ipab/Z1022056870/rank1_confidence-0.84.sdf,1,1,1,1,1,0,1,1,0,0
Z1022056870,2,0.86,3.0972177823027867,results_ipab/Z1022056870/rank2_confidence-0.86.sdf,1,1,1,1,1,1,1,1,1,1
Z1022056870,3,0.92,3.160086048128544,results_ipab/Z1022056870/rank3_confidence-0.92.sdf,1,1,1,1,1,1,1,1,1,1
Z1022056870,4,1.28,0.600273541989145,results_ipab/Z1022056870/rank4_confidence-1.28.sdf,1,1,1,1,1,1,1,1,1,1
Z1022056870,5,1.32,1.2443737844136842,results_ipab/Z1022056870/rank5_confidence-1.32.sdf,1,1,1,1,1,1,1,1,1,1
Z1022056870,6,1.35,1.3842056393863873,results_ipab/Z1022056870/rank6_confidence-1.35.sdf,1,1,1,1,1,1,1,1,1,1
Z1022056870,7,1.56,1.5581807522044533,results_ipab/Z1022056870/rank7_confidence-1.56.sdf,1,1,1,1,1,1,1,1,1,1
Z1022056870,8,1.64,3.2887623767943035,results_ipab/Z1022056870/rank8_confidence-1.64.sdf,1,1,1,1,1,1,1,1,1,1
Z1022056870,9,1.7,3.315007700451536,results_ipab/Z1022056870/rank9_confidence-1.70.sdf,1,1,1,1,1,1,1,1,1,1
Z1037939812,1,0.08,4.174126023546146,results_ipab/Z1037939812/rank1_confidence-0.08.sdf,1,1,1,1,1,1,1,1,1,1
Z1037939812,2,0.18,4.199829057423287,results_ipab/Z1037939812/rank2_confidence-0.18.sdf,1,1,1,1,1,1,1,1,1,1
Z1037939812,3,0.23,2.294450423747128,results_ipab/Z1037939812/rank3_confidence-0.23.sdf,1,1,1,1,1,1,1,1,1,1
Z1037939812,4,0.59,0.924683255605214,results_ipab/Z1037939812/rank4_confidence-0.59.sdf,1,1,1,1,1,1,1,1,1,1
Z1037939812,5,0.66,3.4441831384012875,results_ipab/Z1037939812/rank5_confidence-0.66.sdf,1,1,1,1,1,1,1,1,1,1
Z1037939812,6,0.86,0.610385237255534,results_ipab/Z1037939812/rank6_confidence-0.86.sdf,1,1,1,1,1,1,1,1,0,0
Z1037939812,7,0.92,2.5563626608485954,results_ipab/Z1037939812/rank7_confidence-0.92.sdf,1,1,1,1,1,1,1,1,1,1
Z1037939812,8,1.28,4.047944964292928,results_ipab/Z1037939812/rank8_confidence-1.28.sdf,1,1,1,1,1,1,1,1,1,1
Z1037939812,9,2.18,3.3534760470103446,results_ipab/Z1037939812/rank9_confidence-2.18.sdf,1,1,1,1,1,1,1,1,1,1
Z1038829842,10,0.71,1.4077545295288136,results_ipab/Z1038829842/rank10_confidence-0.71.sdf,1,1,1,1,1,1,1,1,1,1
